drone_id,stage,generation,best_score,mean_score
FY1,duration_proxy,175,4.83249366315452,4.8324780403897085
FY1,duration_proxy,176,4.83249366315452,4.832478556880524
FY1,duration_proxy,177,4.83249366315452,4.832479573609864
FY1,duration_proxy,178,4.83249366315452,4.832480678334278
FY1,duration_proxy,179,4.83249366315452,4.832481506089853
FY1,duration_proxy,180,4.83249366315452,4.832482493470841
FY1,duration_proxy,181,4.83249366315452,4.832483578500281
FY1,duration_proxy,182,4.83249366315452,4.832484323488667
FY1,duration_proxy,183,4.83249366315452,4.832484821274635
FY1,duration_proxy,184,4.83249366315452,4.832485202408823
FY1,duration_proxy,185,4.8324951629271435,4.8324857286716405
FY1,duration_proxy,186,4.8324951629271435,4.832486504090761
FY1,duration_proxy,187,4.8324951629271435,4.832487075296849
FY1,duration_proxy,188,4.8324951629271435,4.832487425070207
FY1,duration_proxy,189,4.8324951629271435,4.832487951446515
FY1,duration_proxy,190,4.8324951629271435,4.832488279935349
FY2,proximity,0,-0.19380433149741855,-4737.8471276261
FY2,proximity,1,-0.19380433149741855,-2089.9988991612986
FY2,proximity,2,-0.19380433149741855,-1260.0032852810893
FY2,proximity,3,-0.19380433149741855,-909.0665684205751
FY2,proximity,4,-0.19380433149741855,-762.0923651143072
FY2,proximity,5,-0.19380433149741855,-634.946316517091
FY2,proximity,6,-0.19380433149741855,-518.5237302686959
FY2,proximity,7,-0.19380433149741855,-446.09624237707163
FY2,proximity,8,-0.19380433149741855,-394.02373263384817
FY2,proximity,9,-0.19380433149741855,-346.09104116128833
FY2,proximity,10,-0.19380433149741855,-283.8114148916796
FY2,proximity,11,-0.19380433149741855,-239.95622078406404
FY2,proximity,12,-0.19380433149741855,-223.94193350395062
FY2,proximity,13,-0.19380433149741855,-202.01405900565308
FY2,proximity,14,-0.19380433149741855,-175.84052704072027
FY2,proximity,15,-0.19380433149741855,-145.27616680348947
FY2,proximity,16,-0.19380433149741855,-123.24033426519249
FY2,proximity,17,-0.19380433149741855,-116.93669454794268
FY2,proximity,18,-0.19380433149741855,-107.0769769754858
FY2,proximity,19,-0.19380433149741855,-101.12858462337768
FY2,proximity,20,-0.19380433149741855,-97.63134425788132
FY2,proximity,21,-0.19380433149741855,-90.88515463470343
FY2,proximity,22,-0.19380433149741855,-88.10718854230792
FY2,proximity,23,-0.19380433149741855,-81.33182174917364
FY2,proximity,24,-0.19380433149741855,-79.24884701094895
FY2,proximity,25,-0.19380433149741855,-76.01284214792543
FY2,proximity,26,-0.19380433149741855,-74.51226906775055
FY2,proximity,27,-0.19380433149741855,-71.67655870582429
FY2,proximity,28,-0.19380433149741855,-69.27519726473976
FY2,proximity,29,-0.19380433149741855,-66.00023059299748
FY2,proximity,30,-0.19380433149741855,-65.10635647806573
FY2,proximity,31,-0.19380433149741855,-62.817197355749386
FY2,proximity,32,-0.19380433149741855,-61.39384623805449
FY2,proximity,33,-0.19380433149741855,-58.49348421583999
FY2,proximity,34,-0.19380433149741855,-54.19550241343438
FY2,proximity,35,-0.19380433149741855,-53.31036813045163
FY2,proximity,36,-0.19380433149741855,-51.11081728926583
FY2,proximity,37,-0.19380433149741855,-48.77442081709919
